UrSEC Description,,,,,,,,,,
تشریح,جذبات,صنف,اداکار,اداکار  کاآئی ڈی نمبر,نمونہ کی شکل,نمونہ کی شرح,فارمیٹ,دورانیہ سیکنڈز میں ,فائل کا نام,سیریل نمبر
کوئی معقول وجہ بتا دو اسب نسب خاندان پیسہ دولت سب کچھ تو ہے میرے پاس,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_6_17,1317
تمہیں اپنے گھر کی عزت بنا رہا ہوں زوہرا,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_6_18,1318
قاری صاحب معذرت چاہتا ہوں اپ تھوڑی دیر کے لیے ساتھ والے کمرے میں جا سکتے ہیں,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_6_19,1319
جاؤ قاضی صاحب اور مہمانوں کا گھر چھوڑ اؤ,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_6_20,1320
میرے جیل سے رہا ہونے کے بعد میرے ابا نے مجھے گھر انے کی اجازت نہیں دی اور میں پلٹ کر گیا نہیں,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_6_21,1321
اس ناشتے سے میں عمر بھر کے تمام صبح کا اغاز کر سکتا ہوں,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_6_22,1322
تو پھر میری طرف سے بھی انکار ہے میڈم,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_6_23,1323
جھوٹ بول کر نوکری حاصل کرنا رزق کمانا یہ موسی کو زیب نہیں دیتا میڈم,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,6,4_0_6_24,1324
نہیں میڈم پولیس والوں کا تو کام ہے تفشیش کرنا,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_6_25,1325
تمہاری اور اس کی حفاظت اب موسی کی ذمہ داری ہے,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_6_26,1326
جب بچپن میں نے  یہ خواہش ظاہر کی تھی کہ میں بھی اس  سکول میں پڑھنا چاہتا ہوں جہاں اپ پڑھتے ہیں,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_6_27,1327
صاحب یہ جو نگاہ ہوتی ہے نا یہ بڑی خطرناک چیز ہوتی ہے,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_6_28,1328
شریف نیک صلاۃ کی پابند رشتوں کا خیال رکھنے والی,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_6_29,1329
لیکن داغ لگ گیا ہے صاحب ایک مشورہ ہے اگر مانے  تو,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_6_30,1330
میرے کہنے کا مطلب تھا چھپ جائے گا میٹے گا نہیں,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_6_31,1331
بنگلے والے جب کسی سامان سے بور ہو جاتے ہیں یا خراب ہو جاتا ہے تو گھر سے باہر نکال دیتے ہیں,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_6_32,1332
اور مجھے بگڑی ہوئی چیزوں کو ٹھیک کرنے کا شوق ہے صاحب ٹھیک کر کے اپنے سرونٹ کوارٹر میں رکھ لیتا ہوں میرے ابا بھی یہی کرتے تھے,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_6_33,1333
یہ سارا سامان 25 30 سالوں میں اکٹھا ہوا ہے صاحب کل کی بات نہیں,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_6_34,1334
پڑھنا لکھنا میرا شوق تھا صاحب جو میں کر رہا ہوں وہ میں ہوں,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_6_35,1335
جدی پشتی نوکر ہوں نمک سے بڑا گہرا رشتہ ہے صاحب,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_6_36,1336
اس گہرائی میں مت جھانکے صاحب جھانکنے کی پوری قیمت وصول کرتا ہے مرید,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,6,4_0_6_37,1337
ویسے ہی مذاقن منہ سے نکل گیا امید کرتا ہوں اپ نے برا نہیں مانا ہوگا,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_6_38,1338
نوکر ہونا صاحب نوکر ہونے کے سارے تقاضے پورے کرتا ہوں,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_6_39,1339
دو قسم کے انسو ہوتے ہیں صاحب خوشی کے اور غم کے,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_6_40,1340
میں غم میں اپنوں کو یاد نہیں کرتا خوشی میں کرتا ہوں,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_6_41,1341
میرے دولت خانے کے دروازے اپ کے لیے ہمیشہ کھولے ہیں اپ ائیں گے تو خوشی ہوگی مجھے,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_6_42,1342
میرے سارے کا سارا بچپن چھوٹی بیگم صاحبہ اور بڑی بیگم صاحبہ کے ساتھ گزرا,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_6_43,1343
میری یہ تیزی سے اٹھتے ہوئے قدم میری بے چینی کی نشانی نہیں ہے,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_6_44,1344
اس دنیا میں کوئی ایسا انسان ہے جسے اپنے ماں باپ پیارے نہ ہو سب کو ہوتے ہیں,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_6_45,1345
مجھے پورا یقین ہے ایک دن اپ بے قصور ثابت ہو جائیں گے اور پھر اپنے گھر والوں کے ساتھ رہنے لگیں گی,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_6_46,1346
ساری زندگی اپ نے بھی بڑی خدمت گزاری کروائی ہے مجھ سے,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_6_47,1347
کم ہے میری زندگی میں بہت لیکن ہے کچھ محسن,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_6_48,1348
اچھائی کیا ہوتی ہے اگر کوئی یہ سوال کرے تو مرید اپ کا نام لے گا,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_6_49,1349
پتہ نہیں کیوں لیکن مجھے لگتا ہے کہ یہ بات  یہ جان گیا ہے کہ اس گھر میں کوئی ا گیا ہے جو میرا درد بانٹتا ہے,غیر جانبدار,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_6_50,1350
منافق کہہ دیا تم نے مجھے کیا منافقت کی ہے میں نے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_7_01,1351
سودا لگتا ہے تو میں یہ کمتری بالا طری کا سودا,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_7_02,1352
کچھ اور دکھائی نہیں دیتا نا تمہیں,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_7_03,1353
میرا عشق میری محبت میری دیوانگی  میرا جنون  دکھائی نہیں دیتا,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_7_04,1354
میں میں تجھ سے معافی مانگتا ہوں یار میں گنہگار ہوں تیرا مجھے معاف کر دے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_7_05,1355
یہ میرے حصے کے زخم اور نیل مراد تیرے چہرے تیرے جسم پر دیکھیں تو دکھ ہوا مجھے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_7_06,1356
اگر عشق یک طرفہ ہونا تو خود ہی اپنے اپ کے لیے رکاوٹ بن جاتا ہے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_7_07,1357
نامراد وہ تیرے یار موسی سے عشق نہیں کرتی,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_7_08,1358
اس کے لیے اس نے  شرط رکھ دی ہے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_7_09,1359
تو بس دعا کرنا میرے یار اس نے بڑا بے چین کر دیا مجھے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_7_10,1360
میرے اندر اگ لگا دی ہے میں میں تکلیف میں ہوں,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_7_11,1361
کہاں سے لوگ چچا میرے پاس کچھ نہیں بچا,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_7_12,1362
میں خوشی سے نہیں اپ کو بیچ رہا,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_7_13,1363
الٹ پلٹ گیا ہے یار سب مجھے کچھ سمجھ نہیں ارہا عیسا,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_7_14,1364
یار تیری منت کر رہا ہوں بھائی تو میرا چھوٹا بھائی ہے یار,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_7_15,1365
چل میری مدد کر دے میرے لیے کر دے  گا تو تیرے بھائی کی بے چینی کو تھوڑا سکون مل جائے گا تیری مہربانی یار,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,7,4_0_7_16,1366
نہیں میڈم خدا کا واسطہ ہے یہ مت کیجئے گا میرے ساتھ,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_7_17,1367
میرا تمہارے علاوہ اور بیگم صاحبہ کے علاوہ اور کوئی نہیں ہے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,6,4_0_7_18,1368
اگر اپ نے مجھے نہ رکھا تو انہی گلیوں میں نوکری ڈھونڈتا رہوں گا مجھے یہ ماحول چاہیے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_7_19,1369
یہی میرا نصیب ہے یہی میری تقدیر ہے اور یہی میری سزا,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_7_20,1370
معافی چاہتا ہوں میڈم میں کچھ زیادہ ہی بول گیا تھا,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_7_21,1371
اتنا بد قسمت ہونا میں بدقسمت,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_7_22,1372
میرے وجود سے نہ کسی کو خوشی ملی ہے نہ راحت اور نہ سکون,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_7_23,1373
وہ بھی کہاں خوش ہے جان پوری,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_7_24,1374
یہی نہ مرتبہ خاندان ذات اسی کو وجہ بنا کر کسی نے مجھے ٹھکرا دیا ہے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,6,4_0_7_25,1375
بہت سستا سودا کیا ہے تم نے میرے بدلے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_7_26,1376
اج میں اتنا ہی بدنام ہوں جتنا تم چاہتی تھی,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_7_27,1377
کا ایک بیٹا دربدر کی ٹھوکریں کھا رہا عیسا,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,6,4_0_7_28,1378
ابا کا بازو ایک کٹا کھڑا ہے تیرے سامنے تو  دوسرا بازو ہے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_7_29,1379
اماں کا کیا ہوگا گھر کیا ہوگا سوچنا سمجھ بھائی تیری مہربانی ہے یار,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,7,4_0_7_30,1380
تباہی مچا دی سب کچھ جلا کر راکھ کر دیا کچھ نہیں بچا,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,6,4_0_7_31,1381
وہ تو اس لیے گئی تھی کہ اسے مجھ سے دور کرنے کی تدبیر کرے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_7_32,1382
سانس لینا تو میری اماں کے لیے بھی مشکل ہو گیا تھا منشی صاحب,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_7_33,1383
کتنی مشکل ہوئی ہوگی نا اماں کو,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,1,4_0_7_34,1384
اچھا نہیں کیا اپ نے میرے ساتھ دکھ ہوا,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_7_35,1385
میں نے جب بھی اپنی ماں کو جائے نماز پہ کچھ مانگتے ہوئے سنا تو ایک ہی بات مانگتے ہوئے سنا کہ میرے مرید کے ہاتھوں کے کبھی کسی کو کوئی نقصان نہ پہنچے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,7,4_0_7_36,1386
میرے ابا بھلے ادمی تھے اپ چھوٹی سی تھی جب وہ اس دنیا سے چلے گئے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_7_37,1387
میری انکھوں کے سامنے میری اماں کی عزت پر ہاتھ ڈالا,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_7_38,1388
میں نے اپنی ماں کی انکھوں میں جو شرمندگی دیکھی تھی تب چھوٹا تھا نا بچپن میں سمجھ نہیں سکتا تھا,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_7_39,1389
سمجھ ائی نہیں کہ کس چیز کی شرمندگی ہے مجھے وہ میرے اندر ایسے ہے جیسے موت کسی کے اندر,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_7_40,1390
مجھے کیا پتا انسان کیسا ہوتا ہے محبت کیا ہوتی ہے احساس کیا ہوتی ہے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_7_41,1391
کون ہوں میں بدلے کی اگ کی گود میں پلتا ہوا ایک مظلوم,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_7_42,1392
ہاں میں نے اذیت دی اپ کو پر وہ میں نے نہیں دی,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,4,4_0_7_43,1393
اس بدلے کی اگ نے دی ہے جو میرے اندر پل رہی ہے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_7_44,1394
میں اس ہار کو قبول کرتا ہوں قید کو قبول کرتا ہوں موت کو قبول کرتا ہوں,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,5,4_0_7_45,1395
غریب وہ ہوتا ہے جس کے پاس کوئی اپنا نہیں وہ اکیلا ہوتا ہے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,3,4_0_7_46,1396
مجھے وہ  بات یاد دلانے کی کوشش کی گئی ہے جو بات میرے خون کی یادداشت کی محفوظ ہے نہ میں بھولا تھا نہ میں بھولا ہوں نہ میں کبھی بھول سکتا ہوں,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,7,4_0_7_47,1397
ٹھیک کہتی تھی اماں بالکل ٹھیک کہتی تھی کہ پانی ہمیشہ اس طرف جاتا ہے جو نچائی کی طرف ہوتی ہے نیچے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,7,4_0_7_48,1398
نہیں پوچھنا اپ جان گئی تو اپ کو تکلیف ہو گئی,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,2,4_0_7_49,1399
اج اج پتہ نہیں کیوں روز زخمی ہو گئی ہے میری جیسے یہ باتیں ار پار ہو گئی ہیں مرید کے,افسردہ,مرد,عمران اشرف,4,32-Bit Float,41100 Hz,WAV,6,4_0_7_50,1400
تو نے کاغذ پر نہیں اپنی قسمت کو اگ لگائی ہے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,3,5_0_1_01,1401
اب روز تیری قسمت اس اگ کی طرح جلے گی,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_1_02,1402
تیرے پتر کے ماتھے پر حرام لکھا ہے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,3,5_0_1_03,1403
تب نہیں سمجھ ائی جب وہ میری پیٹھ پر مار رہا تھا,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_1_04,1404
اس کی اس لیے میں نے اسے سامنے نکالا ہے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_1_05,1405
اب کوئی افواہ تیزی سے نکلے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_1_06,1406
مطلب یہ بغیرت,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_1_07,1407
انگوٹھی نہیں پہنی گئی,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_1_08,1408
جوان خون ہے اب تو نے بھی جوانی میں عشق کیا تھا,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_1_09,1409
اگر ان کی نظریں مل گئی تو کیا قیامت اگئی ہے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_1_10,1410
کوئی نئی بات نہیں ہے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_1_11,1411
اگر ان بچوں کا دل اگیا ہے تو میں کیا کروں,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_1_12,1412
اخر میری زندگی میں زندہ لڑکی کب ائے گی,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,5,5_0_1_13,1413
تو بڑی خود غرض ہے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_1_14,1414
جب تم نے ان کو قتل کیا بعد میں پیسے دیکھ کر بھاگ گئی,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_1_15,1415
ان کی لاش لے کر دردر میں جاتا رہا,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_1_16,1416
ویسے بھی تفشیش کے کچھ سوالات اتنے کڑوے ہوتے ہیں,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,3,5_0_1_17,1417
یہ یہاں پر خود خوشی ہوئی ہے اور خودکشی جرم ہے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,3,5_0_1_18,1418
ابھی نہیں,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_1_19,1419
ورنہ ایسے موقعوں پر لوگ ہمیں اٹھاتے نہیں ہیں,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_1_20,1420
اے پاگل ہو گیا ہے باہر ہی کھڑا رہ,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_1_21,1421
اس کو اندر مت انے دینا اس کو کہنا کہ صاحب جو ہے نا واردات کے موقع پر گیا ہوا ہے چل چل,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_1_22,1422
جی نہیں میری بیٹی نہیں ہے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_1_23,1423
اگر ہوتی نہ تو میں کبھی بھی بڑے گھر کے لوگوں کے ساتھ اس کی دوستی نہ ہونے دیتا,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_1_24,1424
اور خاص طور پر بڑے گھر میں اس کو ڈیرا جما کر بیٹھنے کی اجازت نہ دیتا,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,6,5_0_1_25,1425
اوئے میری ٹاپی کہاں ہے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_1_26,1426
ارے یار میں تمہیں کیا سمجھا رہا ہوں تم وہیں پھنسے ہو شکل سے شریف ادمی,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,3,5_0_1_27,1427
او بھائی شکل پہ شریف یا بدمعاش نہیں لکھا ہوتا,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_1_28,1428
وہ سمجھا رہا ہوں سمجھنے کی کوشش کرو چاچا,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_1_29,1429
اے صاحب دے رہے ہیں چل,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_1_30,1430
اوئے لیپ ٹاپ کا کہا تھا یہ کیا لے کر ایا ہے یہ کیا رکھا ہوا ہے چھوڑو اسے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,3,5_0_1_31,1431
کیا بہن بہن لگایا ہوا ہے تو نے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,3,5_0_1_32,1432
اوئے تو تو چکروں میں رہتا ہے کبھی اپنی بہن کبھی کسی اور کی بہن,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,3,5_0_1_33,1433
اوئے تو بعد میں بھی نہیں دیکھ سکتا تو جو اتنا اڑتا ہے نا اپنے بھائی پہ بیٹھا ہوا ہے نا,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_1_34,1434
چل چلا جا کوئی کوئی اپنی اڑ میں نہیں کاٹی,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_1_35,1435
چل چلا جا منہ اگے کر کے دفع ہو جا دفع ہو,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,5,5_0_1_36,1436
اب نکل یہاں سے پھوٹا کھا نکل جا چل,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_1_37,1437
او بھائی او میاں او پپو,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_1_38,1438
بچیا بڑا شوق ہے تجھے دیکھنے کا ا بیٹا دیکھ,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_1_39,1439
بس چل جا,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_1_40,1440
خاموش,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_1_41,1441
نکل جائے اس کے اندر سے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_1_42,1442
گم ہو جا اس کے اندر,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_1_43,1443
تجھ سے نہیں پوچھ رہا,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_1_44,1444
کیا کرتا ہے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_1_45,1445
اج کے بعد دوبارہ وہاں گئی تو مجھ سے رشتہ ختم,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,3,5_0_1_46,1446
اب میرے جنات سے اجازت لے کر جانا ہوگی,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_1_47,1447
فریب ہے دھوکا ہے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_1_48,1448
دھوکے باز ہے وہ,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_1_49,1449
وہ بہت خطرناک شخص ہے,غصہ,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_1_50,1450
کچھ نہیں کر سکتا میں بیمار ہوں,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_2_01,1451
میں دیکھ اور سن سکتا ہوں یہ تو مجھے کیا دھوکہ دے رہے ہو,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,3,5_0_2_02,1452
با جی میرے ساتھ جلدی چلو تانیا وہاں بے ہوش ہو گئی ہے,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,3,5_0_2_03,1453
جلدی چلیں میں کہہ رہا ہوں بس جلدی چلیں,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_2_04,1454
اچھا بابا میں جا کر لے اتا ہوں,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_2_05,1455
سب خیریت ہے نا نیچے اوازیں,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,3,5_0_2_06,1456
بیٹا اپ ہر بات میں بولنا چھوڑ دیں اندر جائیں چلیں اندر جائیں,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_2_07,1457
میں  میں,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_2_08,1458
دوسروں کی بیٹیوں کا سودا کرنے والے اپنی بیٹیوں کے لیے بہت محتاط رہتے ہیں,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,5,5_0_2_09,1459
یاسمین اگر تو بچا لیا,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_2_10,1460
کیا کیا یاسمین یہ کیا کہہ رہی ہے,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_2_11,1461
کیوں شوکت کو غصہ دلا رہی ہو معافی مانگو,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,2,5_0_2_12,1462
کسی نے ایف ائی ار تک نہ لی,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,1,5_0_2_13,1463
میں تمہارا یہ بیھانک چہرہ تمہارے بچوں کے سامنے بے نقاب کر دوں گا,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_2_14,1464
تم پتلی ہونا چاہتی ہوگی مگر اس فن کا ماہر میں ہوں,خوف,مرد,نیر اعجاز,5,32-Bit Float,41100 Hz,WAV,4,5_0_2_15,1465
